Manufacturer	Heron Instruments
Device	bar-Log 128+
Logger ID	A16040
Project	APT PUMP TESTING
Deployment	CSDW20 - CDT (2)
Location	Unavailable
Number of Readings	4,377
Time Zone	Lusaka (CAT 2:00)
Export Timestamp	11/24/2025 10:36:13
	
No	Date	Total Pressure (mH2O)	Temperature (°C)
1	11/21/2025 9:39:47	8.7852	29.781
2	11/21/2025 9:40:00	8.7852	29.813
3	11/21/2025 9:41:00	8.7831	30.359
4	11/21/2025 9:42:00	8.7811	30.414
5	11/21/2025 9:43:00	8.7841	30.125
6	11/21/2025 9:44:00	8.7821	29.859
7	11/21/2025 9:45:00	8.7841	29.430
8	11/21/2025 9:46:00	8.7841	28.898
9	11/21/2025 9:47:00	8.7841	28.375
10	11/21/2025 9:48:00	8.7841	27.859
11	11/21/2025 9:49:00	8.7852	27.336
12	11/21/2025 9:50:00	8.7862	26.984
13	11/21/2025 9:51:00	8.7862	26.664
14	11/21/2025 9:52:00	8.7872	26.406
15	11/21/2025 9:53:00	8.7862	26.391
16	11/21/2025 9:54:00	8.7831	26.422
17	11/21/2025 9:55:00	8.7852	26.313
18	11/21/2025 9:56:00	8.7862	26.281
19	11/21/2025 9:57:00	8.7862	26.148
20	11/21/2025 9:58:00	8.7852	25.852
21	11/21/2025 9:59:00	8.7862	25.633
22	11/21/2025 10:00:00	8.7872	25.414
23	11/21/2025 10:01:00	8.7872	25.305
24	11/21/2025 10:02:00	8.7872	25.234
25	11/21/2025 10:03:00	8.7862	25.188
26	11/21/2025 10:04:00	8.7872	25.031
27	11/21/2025 10:05:00	8.7872	24.930
28	11/21/2025 10:06:00	8.7872	25.008
29	11/21/2025 10:07:00	8.7862	25.047
30	11/21/2025 10:08:00	8.7862	25.047
31	11/21/2025 10:09:00	8.7862	25.164
32	11/21/2025 10:10:00	8.7852	25.180
33	11/21/2025 10:11:00	8.7841	25.203
34	11/21/2025 10:12:00	8.7841	25.219
35	11/21/2025 10:13:00	8.7852	25.203
36	11/21/2025 10:14:00	8.7852	25.250
37	11/21/2025 10:15:00	8.7841	25.266
38	11/21/2025 10:16:00	8.7852	25.188
39	11/21/2025 10:17:00	8.7841	25.102
40	11/21/2025 10:18:00	8.7831	25.102
41	11/21/2025 10:19:00	8.7831	25.234
42	11/21/2025 10:20:00	8.7831	25.344
43	11/21/2025 10:21:00	8.7841	25.313
44	11/21/2025 10:22:00	8.7831	25.266
45	11/21/2025 10:23:00	8.7831	25.250
46	11/21/2025 10:24:00	8.7841	25.164
47	11/21/2025 10:25:00	8.7831	25.172
48	11/21/2025 10:26:00	8.7821	25.320
49	11/21/2025 10:27:00	8.7821	25.477
50	11/21/2025 10:28:00	8.7831	25.508
51	11/21/2025 10:29:00	8.7811	25.625
52	11/21/2025 10:30:00	8.7811	25.750
53	11/21/2025 10:31:00	8.7821	25.844
54	11/21/2025 10:32:00	8.7821	25.883
55	11/21/2025 10:33:00	8.7811	25.859
56	11/21/2025 10:34:00	8.7811	25.867
57	11/21/2025 10:35:00	8.7811	25.836
58	11/21/2025 10:36:00	8.7811	25.891
59	11/21/2025 10:37:00	8.7791	26.102
60	11/21/2025 10:38:00	8.7791	26.352
61	11/21/2025 10:39:00	8.7791	26.461
62	11/21/2025 10:40:00	8.7791	26.453
63	11/21/2025 10:41:00	8.7780	26.508
64	11/21/2025 10:42:00	8.7780	26.508
65	11/21/2025 10:43:00	8.7791	26.578
66	11/21/2025 10:44:00	8.7770	26.742
67	11/21/2025 10:45:00	8.7780	26.859
68	11/21/2025 10:46:00	8.7770	26.914
69	11/21/2025 10:47:00	8.7780	27.070
70	11/21/2025 10:48:00	8.7780	27.141
71	11/21/2025 10:49:00	8.7791	27.078
72	11/21/2025 10:50:00	8.7791	27.008
