Manufacturer	Heron Instruments
Device	bar-Log 128+
Logger ID	A16040
Project	APT PUMP TESTING
Deployment	CSDW20 - SDT (2)
Location	Unavailable
Number of Readings	1,508
Time Zone	Lusaka (CAT 2:00)
Export Timestamp	11/21/2025 9:37:54
	
No	Date	Total Pressure (mH2O)	Temperature (°C)
1	11/20/2025 8:27:18	8.7933	21.281
2	11/20/2025 8:28:00	8.7913	21.477
3	11/20/2025 8:29:00	8.7923	21.492
4	11/20/2025 8:30:00	8.7923	21.367
5	11/20/2025 8:31:00	8.7933	21.242
6	11/20/2025 8:32:00	8.7943	21.094
7	11/20/2025 8:33:00	8.7933	20.969
8	11/20/2025 8:34:00	8.7943	20.875
9	11/20/2025 8:35:00	8.7943	20.750
10	11/20/2025 8:36:00	8.7954	20.672
11	11/20/2025 8:37:00	8.7954	20.594
12	11/20/2025 8:38:00	8.7943	20.516
13	11/20/2025 8:39:00	8.7933	20.461
14	11/20/2025 8:40:00	8.7943	20.414
15	11/20/2025 8:41:00	8.7943	20.391
16	11/20/2025 8:42:00	8.7943	20.375
17	11/20/2025 8:43:00	8.7954	20.344
18	11/20/2025 8:44:00	8.7943	20.344
19	11/20/2025 8:45:00	8.7954	20.422
20	11/20/2025 8:46:00	8.7943	20.508
21	11/20/2025 8:47:00	8.7943	20.594
22	11/20/2025 8:48:00	8.7933	20.641
23	11/20/2025 8:49:00	8.7943	20.680
24	11/20/2025 8:50:00	8.7943	20.711
25	11/20/2025 8:51:00	8.7943	20.750
26	11/20/2025 8:52:00	8.7943	20.781
27	11/20/2025 8:53:00	8.7943	20.789
28	11/20/2025 8:54:00	8.7943	20.766
29	11/20/2025 8:55:00	8.7943	20.750
30	11/20/2025 8:56:00	8.7933	20.789
31	11/20/2025 8:57:00	8.7943	20.828
32	11/20/2025 8:58:00	8.7943	20.891
33	11/20/2025 8:59:00	8.7943	20.906
34	11/20/2025 9:00:00	8.7954	20.891
35	11/20/2025 9:01:00	8.7943	20.891
36	11/20/2025 9:02:00	8.7943	20.891
37	11/20/2025 9:03:00	8.7954	20.906
38	11/20/2025 9:04:00	8.7954	20.898
39	11/20/2025 9:05:00	8.7954	20.852
40	11/20/2025 9:06:00	8.7954	20.813
41	11/20/2025 9:07:00	8.7954	20.797
42	11/20/2025 9:08:00	8.7943	20.813
43	11/20/2025 9:09:00	8.7954	20.789
44	11/20/2025 9:10:00	8.7954	20.766
45	11/20/2025 9:11:00	8.7943	20.789
46	11/20/2025 9:12:00	8.7943	20.828
47	11/20/2025 9:13:00	8.7943	20.891
