Manufacturer,Heron Instruments
Device,bar-Log 128+
Logger ID,A16040
Project,APT PUMP TESTING
Deployment,MDW14 - CDT 2
Location,Unavailable
Number of Readings,"10,631"
Time Zone,Lusaka (CAT 2:00)
Export Timestamp,10/20/2025 17:11:12
,
No,Date,Total Pressure (mH2O),Temperature (°C)
1,10/13/2025 8:00:00,8.8637,31.273
2,10/13/2025 8:01:00,8.8626,31.438
3,10/13/2025 8:02:00,8.8647,31.500
4,10/13/2025 8:03:00,8.8637,31.367
5,10/13/2025 8:04:00,8.8657,31.117
6,10/13/2025 8:05:00,8.8667,30.898
7,10/13/2025 8:06:00,8.8677,30.734
8,10/13/2025 8:07:00,8.8657,30.703
9,10/13/2025 8:08:00,8.8657,30.727
10,10/13/2025 8:09:00,8.8677,30.734
11,10/13/2025 8:10:00,8.8667,30.828
12,10/13/2025 8:11:00,8.8647,30.883
13,10/13/2025 8:12:00,8.8677,30.781
14,10/13/2025 8:13:00,8.8688,30.695
15,10/13/2025 8:14:00,8.8677,30.703
16,10/13/2025 8:15:00,8.8688,30.602
17,10/13/2025 8:16:00,8.8667,30.742
18,10/13/2025 8:17:00,8.8667,30.914
19,10/13/2025 8:18:00,8.8657,31.164
20,10/13/2025 8:19:00,8.8637,31.469
21,10/13/2025 8:20:00,8.8667,31.578
22,10/13/2025 8:21:00,8.8667,31.609
23,10/13/2025 8:22:00,8.8657,31.625
24,10/13/2025 8:23:00,8.8667,31.633
25,10/13/2025 8:24:00,8.8647,31.766
26,10/13/2025 8:25:00,8.8657,31.844
27,10/13/2025 8:26:00,8.8667,31.766
28,10/13/2025 8:27:00,8.8657,31.570
29,10/13/2025 8:28:00,8.8677,31.594
30,10/13/2025 8:29:00,8.8667,31.773
31,10/13/2025 8:30:00,8.8667,31.898
32,10/13/2025 8:31:00,8.8667,31.891
33,10/13/2025 8:32:00,8.8657,32.008
34,10/13/2025 8:33:00,8.8657,32.289
35,10/13/2025 8:34:00,8.8647,32.648
36,10/13/2025 8:35:00,8.8657,32.953
37,10/13/2025 8:36:00,8.8667,32.945
38,10/13/2025 8:37:00,8.8677,32.820
39,10/13/2025 8:38:00,8.8677,32.672
40,10/13/2025 8:39:00,8.8667,32.742
41,10/13/2025 8:40:00,8.8657,32.852
42,10/13/2025 8:41:00,8.8647,32.789
43,10/13/2025 8:42:00,8.8667,32.727
44,10/13/2025 8:43:00,8.8657,32.766
45,10/13/2025 8:44:00,8.8667,32.844
46,10/13/2025 8:45:00,8.8647,32.867
47,10/13/2025 8:46:00,8.8677,32.781
48,10/13/2025 8:47:00,8.8667,32.664
