Manufacturer,Heron Instruments
Device,bar-Log 128+
Logger ID,A16040
Project,APT PUMP TESTING
Deployment,MDW14
Location,Unavailable
Number of Readings,"1,572"
Time Zone,Lusaka (CAT 2:00)
Export Timestamp,10/11/2025 12:05:17
,
No,Date,Total Pressure (mH2O),Temperature (°C)
1,10/10/2025 9:52:44,8.8851,33.164
2,10/10/2025 9:53:00,8.8861,33.117
3,10/10/2025 9:54:00,8.8830,32.953
4,10/10/2025 9:55:00,8.8779,32.938
5,10/10/2025 9:56:00,8.8779,32.898
6,10/10/2025 9:57:00,8.8779,32.984
7,10/10/2025 9:58:00,8.8759,33.328
8,10/10/2025 9:59:00,8.8759,33.586
9,10/10/2025 10:00:00,8.8728,34.016
10,10/10/2025 10:01:00,8.8759,34.313
11,10/10/2025 10:02:00,8.8739,34.383
12,10/10/2025 10:03:00,8.8769,34.398
13,10/10/2025 10:04:00,8.8790,34.266
14,10/10/2025 10:05:00,8.8790,34.094
15,10/10/2025 10:06:00,8.8779,34.031
16,10/10/2025 10:07:00,8.8790,34.016
17,10/10/2025 10:08:00,8.8800,33.992
18,10/10/2025 10:09:00,8.8790,33.930
19,10/10/2025 10:10:00,8.8800,33.906
20,10/10/2025 10:11:00,8.8790,33.906
21,10/10/2025 10:12:00,8.8790,33.867
22,10/10/2025 10:13:00,8.8779,33.938
23,10/10/2025 10:14:00,8.8779,34.109
24,10/10/2025 10:15:00,8.8790,34.195
25,10/10/2025 10:16:00,8.8790,34.156
26,10/10/2025 10:17:00,8.8779,34.094
27,10/10/2025 10:18:00,8.8779,34.008
28,10/10/2025 10:19:00,8.8790,33.844
29,10/10/2025 10:20:00,8.8779,33.883
30,10/10/2025 10:21:00,8.8790,33.867
31,10/10/2025 10:22:00,8.8769,33.992
32,10/10/2025 10:23:00,8.8769,34.195
33,10/10/2025 10:24:00,8.8759,34.555
34,10/10/2025 10:25:00,8.8759,34.750
35,10/10/2025 10:26:00,8.8769,34.875
36,10/10/2025 10:27:00,8.8749,35.063
37,10/10/2025 10:28:00,8.8749,35.211
38,10/10/2025 10:29:00,8.8739,35.531
39,10/10/2025 10:30:00,8.8759,35.742
